Organiza‡Æo da UH;;;;;;;;;Posi‡Æo da UH;;;
Sala-Dormit¢rio 1;Sala-Dormit¢rio 2;Sala-Banheiro;Sala-Cozinha/ µrea de Servi‡o;Room1;Room2;Room3;Room4;Room5;Esp. Externo;;;
3,920427888;3,884270518;4,593914639;4,113070523;2;2;2;2;2;180;;;
4,153288335;4,192735891;4,731766847;4,379286776;1;2;2;2;2;270;;;
4,64323676;4,404467577;4,737715888;3,689520734;2;2;2;2;2;270;;;
3,616274844;3,535470025;4,12182016;3,730091906;2;2;1;2;2;0;;;
3,985745194;4,260565757;6,067572617;4,60684457;2;2;1;2;2;0;;;
3,290603264;3,951759063;5,185290111;4,569270793;1;2;1;2;2;90;;;
3,371587158;3,624195141;4,574033148;3,859295604;2;1;1;2;2;180;;;
4,084723868;4,260565757;5,638954452;4,792120483;2;1;2;2;2;180;;;
3,296746063;3,624195141;5,009971482;4,258427754;2;1;2;2;2;0;;;
3,494844426;4,192283619;5,273112408;4,540897533;2;2;2;2;2;0;;;
3,662052284;3,568009219;4,46668862;3,572862041;1;2;1;1;2;90;;;
3,677078477;3,816605178;4,101143558;2,756500967;2;2;2;1;2;270;;;
4,248714487;4,401617301;5,751818779;5,083661048;2;2;2;1;2;270;;;
3,635635577;2,89102797;4,08402246;4,277528497;2;2;2;2;2;270;;;
3,607716695;3,402928899;4,880186783;4,093243849;1;1;2;2;2;0;;;
3,761210725;3,625131949;4,4573202;4,035901452;2;2;1;1;2;180;;;
3,862205311;4,229152583;6,134822074;5,263368416;1;2;2;2;2;180;;;
3,934412586;3,87682067;5,076323549;3,551302288;1;1;2;2;2;270;;;
2,755045457;3,356433544;4,551750271;4,008344834;2;2;1;2;2;270;;;
3,997743294;4,269966799;4,9238002;4,21565725;2;2;2;2;2;270;;;
3,409202465;3,086358261;5,310935677;5,120044393;1;2;2;2;2;0;;;
