Conjunto;Quadra;Bloco;Andar;Leste (0) /Oeste (1);Anos_resid;Idade;Sexo;Escol;Npessoas;NCriancas;NAdultos;PD;Deficien;Satisf_barulhoQ;Sensacao_barulho;Fonte_barulhoA;Fonte_barulhoB;Fonte_barulhoC;Fonte_barulhoD;Fonte_barulhoE;Fonte_barulho_NoiteA;Fonte_barulho_NoiteB;Fonte_barulho_NoiteC;Satisf_tempQ;Sensacao_temp;Satisf_locomov;Meio_transpA;Meio_transpB;Satisfacao_acess;Satisf_usoacess;Satisf_materiais;Reformado;Satisf_cons_agua;Op_conta_agua;Valor_conta;Mais importante num apto 
D1;P2;4;4;0;5.5;32;1;3;2;0;2;0;0;4;3;0;0;0;0;0;0;0;0;4;3;4;4;0;4;1;2;2;2;4;32;5,3,2,4,1
D1;P2;5;5;0;6;48;1;4;2;0;2;0;0;2;1;7;0;0;0;0;7;0;0;4;4;3;4;5;4;0;4;2;4;3;82;2,1,5,3,4
B2;P1;1;1;1;2;51;0;1;2;0;2;0;0;2;3;4;0;0;0;0;4;0;0;4;3;3;3;0;4;4;2;2;1;5;90;5,3,1,4,2
B2;P1;2;2;1;6;45;1;3;4;2;2;0;0;4;4;1;0;0;0;0;1;0;0;4;3;4;3;0;4;2;4;1;4;5;68;5,4,1,3,2
B2;P1;3;3;1;5;38;0;1;2;1;1;0;0;2;2;1;2;0;0;0;1;5;0;4;1;2;3;0;4;3;2;2;4;5;105;5,1,2,3,4
B2;P1;4;2;1;3;27;0;3;2;0;2;0;0;2;2;1;0;0;0;0;1;0;0;4;2;4;3;0;4;3;4;2;5;5;90;5,2,1,3,4
B2;P1;5;5;1;2;32;0;3;4;2;2;0;0;2;2;4;5;0;0;0;5;0;0;4;3;2;3;0;1;1;1;2;4;5;139;5,4,1,3,2
D1;P1;1;1;1;4;56;1;1;6;0;6;1;0;4;2;4;0;0;0;0;7;0;0;4;3;2;3;0;2;2;2;2;1;5;100;4,5,3,2,1
D1;P1;2;2;1;5;49;0;1;5;2;3;0;0;2;2;1;2;0;0;0;1;0;0;4;4;4;3;0;4;2;2;2;4;5;95;5,3,1,2,4
D1;P1;2;2;1;3;28;0;3;4;3;1;0;0;2;1;4;0;0;0;0;4;0;0;3;3;4;4;0;3;3;2;1;4;3;35;4,5,3,2,1
D1;P1;3;4;1;4;25;0;1;3;1;2;0;0;3;2;3;7;0;0;0;7;0;0;4;3;4;4;5;4;2;4;2;4;4;120;5,3,2,4,1
D1;P1;5;5;1;5;23;0;3;7;2;5;1;1;1;1;7;0;0;0;0;7;0;0;2;5;4;6;0;1;1;1;2;4;5;160;3,4,1,5,2
B2;P1;1;1;0;6;52;0;1;4;1;3;1;1;2;2;0;0;0;0;0;5;0;0;3;4;2;3;0;2;3;1;1;1;5;134;5,4,2,1,3
B2;P1;2;2;0;6;19;1;3;4;0;4;1;0;2;2;1;0;0;0;0;1;0;0;4;3;4;3;0;4;3;4;2;3;5;105;3,2,1,4,5
B2;P1;2;3;0;6;30;0;3;3;2;1;1;0;2;3;5;0;0;0;0;5;0;0;4;3;5;3;0;3;1;2;2;3;3;115;5,2,1,4,3
B2;P1;3;3;0;4;55;1;1;4;1;3;1;0;4;3;0;0;0;0;0;4;0;0;4;3;4;4;0;4;4;1;2;3;3;70;3,4,5,2,1
B2;P1;4;4;0;1;39;1;3;3;1;2;1;0;4;4;5;0;0;0;0;5;0;0;2;1;1;7;0;2;1;3;1;4;4;109;3,5,1,2,4
D1;P1;1;1;0;7;16;1;1;3;0;3;1;0;4;4;0;0;0;0;0;0;0;0;2;5;5;3;0;2;2;4;2;3;3;80;3,5,2,1,4
D1;D1;2;2;0;4;16;1;2;6;1;5;0;2;4;3;5;0;0;0;0;5;0;0;4;3;4;3;0;4;4;3;2;4;3;100;3,5,4,2,1
D1;P1;3;3;0;6;54;0;1;4;0;4;0;0;2;1;5;0;0;0;0;1;0;0;4;3;3;3;0;3;3;4;2;2;4;120;5,1,4,2,3
D1;P1;4;4;0;5;35;0;2;3;1;2;0;0;2;2;2;0;0;0;0;5;0;0;3;3;4;3;0;3;2;3;2;3;4;90;5,2,4,1,3
